시군구,번지,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,a,실거래가
울산광역시 울주군,2**,전,제1종일반주거지역,-,201810,2,165.0,7497, ,17,1237005.0
울산광역시 울주군,1***,대,제2종일반주거지역,-,201810,2,245.5,86500, ,16,21235750.0
울산광역시 울주군,산7*,임야,제1종일반주거지역,12m미만,201810,2,330.0,9604,지분,17,3169320.0
울산광역시 울주군,1**,대,제2종일반주거지역,8m미만,201810,4,479.0,38000, ,17,18202000.0
울산광역시 남구 ,1***,대,제2종일반주거지역,12m미만,201810,5,126.2,19000,지분,12,2397800.0
울산광역시 울주군,9**,답,제1종일반주거지역,-,201810,5,3.0,193,지분,17,579.0
울산광역시 동구 ,산*,임야,제3종일반주거지역,-,201810,5,5.0,2000,지분,12,10000.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201810,5,165.0,4542, ,17,749430.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201810,5,165.0,4542, ,17,749430.0
울산광역시 울주군,4**,전,제1종일반주거지역,8m미만,201810,5,165.0,4542, ,17,749430.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201810,5,165.0,4542, ,17,749430.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201810,5,165.0,4542, ,17,749430.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201810,5,165.0,4542, ,17,749430.0
울산광역시 동구 ,1**,대,제2종일반주거지역,8m미만,201810,5,5.29,470,지분,12,2486.3
울산광역시 울주군,9**,답,제1종일반주거지역,-,201810,5,10.0,579,지분,17,5790.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201810,5,243.0,6689, ,17,1625427.0
울산광역시 남구 ,6**,대,제2종일반주거지역,12m미만,201810,8,171.5,56300, ,11,9655450.0
울산광역시 울주군,7**,전,제2종일반주거지역,12m미만,201810,10,91.0,11000, ,17,1001000.0
울산광역시 북구 ,1***,대,제2종일반주거지역,25m미만,201810,10,556.0,134400, ,12,74726400.0
울산광역시 울주군,8**,답,제2종일반주거지역,12m미만,201810,10,89.0,16850, ,17,1499650.0
울산광역시 중구 ,3*,도로,제2종일반주거지역,12m미만,201810,10,37.6,2000, ,12,75200.0
울산광역시 울주군,8**,답,제2종일반주거지역,12m미만,201810,10,14.0,2650, ,17,37100.0
울산광역시 울주군,3**,도로,제1종일반주거지역,8m미만,201810,10,3.0,37, ,17,111.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201810,11,33.0,1499,지분,17,49467.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201810,11,33.0,1499,지분,17,49467.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201810,11,33.0,1499,지분,17,49467.0
울산광역시 울주군,4**,전,제2종일반주거지역,8m미만,201810,11,281.0,15948, ,16,4481388.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,11,46.0,2058,지분,17,94668.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,11,79.0,3528,지분,17,278712.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,11,99.0,4410,지분,17,436590.0
울산광역시 울주군,4**,묘지,제2종일반주거지역,8m미만,201810,11,7792.0,442222, ,16,3445793824.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,11,13.0,588,지분,17,7644.0
울산광역시 울주군,4**,전,제2종일반주거지역,8m미만,201810,11,119.0,6753, ,16,803607.0
울산광역시 울주군,4**,전,제2종일반주거지역,-,201810,11,1567.0,88933, ,16,139358011.0
울산광역시 울주군,8**,전,제1종일반주거지역,8m미만,201810,12,938.0,12100, ,17,11349800.0
울산광역시 울주군,6**,과수원,제1종일반주거지역,8m미만,201810,13,154.0,3500, ,17,539000.0
울산광역시 중구 ,1**,대,제1종전용주거지역,12m미만,201810,13,272.0,42780, ,12,11636160.0
울산광역시 울주군,5**,답,제1종일반주거지역,-,201810,15,20.0,1399,지분,17,27980.0
울산광역시 울주군,4**,대,제2종일반주거지역,12m미만,201810,15,249.9,10500, ,17,2623950.0
울산광역시 울주군,8**,전,제1종일반주거지역,-,201810,15,304.0,2659, ,17,808336.0
울산광역시 울주군,8**,전,제1종일반주거지역,8m미만,201810,15,301.0,2958, ,17,890358.0
울산광역시 울주군,8**,대,제1종일반주거지역,8m미만,201810,15,393.0,4337, ,17,1704441.0
울산광역시 울주군,8**,전,제1종일반주거지역,8m미만,201810,15,86.0,5200, ,16,447200.0
울산광역시 울주군,8**,대,제1종일반주거지역,8m미만,201810,15,711.0,5837, ,17,4150107.0
울산광역시 남구 ,1***,도로,제3종일반주거지역,25m미만,201810,15,3.94,600, ,12,2364.0
울산광역시 울주군,2**,대,제2종일반주거지역,12m미만,201810,15,72.3,7000,지분,17,506100.0
울산광역시 울주군,산3**,임야,제1종일반주거지역,12m미만,201810,15,496.15,9000,지분,17,4465350.0
울산광역시 울주군,4**,답,제2종일반주거지역,-,201810,16,781.5,16100,지분,17,12582150.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,16,330.0,5000,지분,17,1650000.0
울산광역시 울주군,4**,답,제1종일반주거지역,-,201810,16,508.88,8600,지분,17,4376368.0
울산광역시 남구 ,2**,도로,제2종일반주거지역,12m미만,201810,17,41.0,2000, ,12,82000.0
울산광역시 울주군,2**,대,제1종일반주거지역,-,201810,18,10.0,1000, ,17,10000.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201810,18,165.0,8330, ,17,1374450.0
울산광역시 북구 ,4**,전,제2종일반주거지역,-,201810,19,17.34,2886,지분,12,50043.24
울산광역시 북구 ,4**,전,제2종일반주거지역,-,201810,19,1.7,283,지분,12,481.09999999999997
울산광역시 북구 ,4**,전,제2종일반주거지역,25m미만,201810,19,189.43,31516,지분,12,5970075.88
울산광역시 북구 ,4**,전,제2종일반주거지역,-,201810,19,2.04,339,지분,12,691.5600000000001
울산광역시 울주군,산1*,임야,제1종일반주거지역,-,201810,19,116.0,5145,지분,17,596820.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,19,118.0,5219,지분,17,615842.0
울산광역시 북구 ,4**,전,제2종일반주거지역,8m미만,201810,19,334.82,55706,지분,12,18651482.919999998
울산광역시 울주군,5**,전,제2종일반주거지역,12m미만,201810,19,113.0,6000, ,17,678000.0
울산광역시 중구 ,1***,전,제1종일반주거지역,-,201810,19,103.0,7750, ,12,798250.0
울산광역시 북구 ,4**,전,제2종일반주거지역,-,201810,19,48.97,8148,지분,12,399007.56
울산광역시 울주군,8**,대,제2종일반주거지역,-,201810,21,132.0,27000, ,17,3564000.0
울산광역시 중구 ,3**,대,제1종전용주거지역,12m미만,201810,21,289.6,37000, ,12,10715200.0
울산광역시 울주군,5**,임야,제2종일반주거지역,12m미만,201810,22,36.0,1200, ,17,43200.0
울산광역시 울주군,5**,임야,제2종일반주거지역,12m미만,201810,22,482.0,16131, ,17,7775142.0
울산광역시 울주군,2**,대,제1종일반주거지역,12m미만,201810,22,225.0,28405, ,17,6391125.0
